u,v,length,name
8863363940,5010299262,1629.1413375374073,Calle Dulce Nombre
8863416410,5979509897,1372.8013271419215,Calle San Bernardo
8863460131,5979432094,4601.526768445698,Vía 414
8863460131,5010531451,315.5175590399872,Vía 414
8863460131,9113567469,4186.099845267763,Calle Río Pacuare
8863527521,12166002349,885.090903057834,Vía 414
8863527521,7122907940,306.24752462674496,Vía 414
8863527521,8863527424,1781.73534704694,Calle Santubal
8866697575,8866713599,142.16294850073334,Vía 414
8866697575,8866713656,504.80959338937777,Sin nombre
8866697575,5010422537,324.6817539555033,Vía 414
8866697575,8866697580,84.7800858281462,Calle Mata de Café
8866697580,8866713463,89.35163602070924,Calle Mata de Café
8866697580,8866697575,84.7800858281462,Calle Mata de Café
8866697580,8866713637,40.688295494884905,Sin nombre
8866713447,8866713448,803.4829169646628,Calle Mata de Café
8866713448,8866713447,803.4829169646626,Calle Mata de Café
8866713448,8866713463,319.8871609144284,Calle Mata de Café
8866713448,8866713462,183.49030574041265,Sin nombre
8866713462,8866713448,183.4903057404126,Sin nombre
8866713463,8866713448,319.8871609144284,Calle Mata de Café
8866713463,8866697580,89.35163602070926,Calle Mata de Café
8866713463,8866713505,617.7203834789747,Sin nombre
8866713506,5010422353,1230.6825318211136,Vía 414
8866713506,8866713599,579.4056092268306,Vía 414
8866713506,5541386555,3321.6106381183417,Sin nombre
8866713599,8866697575,142.16294850073334,Vía 414
8866713599,8866713506,579.4056092268307,Vía 414
8866713599,8866713634,491.17516639717047,Sin nombre
8866783387,8866787963,1142.6260023634563,Calle Pacuare Arriba
8866783387,8866787850,1585.7625156310787,Calle Jakui
8866783387,8866831022,4962.489548215572,"['Calle Río Blanco', 'Calle Pacuare Arriba']"
8866787850,8866783387,1585.7625156310787,Calle Jakui
8866787963,8866894035,4158.1877238154875,Calle Pacuare Arriba
8866787963,8866783387,1142.626002363456,Calle Pacuare Arriba
8866787963,8866788152,2960.0132954919004,Calle Ñoribata
8866788152,8866787963,2960.0132954918995,Calle Ñoribata
8866831022,8866783387,4962.4895482155725,"['Calle Río Blanco', 'Calle Pacuare Arriba']"
8866894035,8866787963,4158.187723815487,Calle Pacuare Arriba
8866894035,8866985983,698.5816047154474,Calle San Rafael
8866894035,6184892076,1363.7253946737783,Calle San Rafael
8866894044,6184892076,3547.724460937575,Calle San Vivente
8866985983,8866894035,698.5816047154472,Calle San Rafael
9113567464,7122925785,222.7061945031911,Calle Río Pacuare
9113567469,8863460131,4186.0998452677595,Calle Río Pacuare
10287845865,288648988,171.01925750827087,Calle La Haciendita
10287845865,4223266074,70.38813005419235,Calle La Haciendita
10287845865,12168418142,502.0720786025477,Calle Hacienda
10287975756,5010551948,2367.1438537576014,Calle Rivel
12163572108,7731921174,2939.6527704499576,Calle Las Colonias
12163572108,7731936711,735.378192024144,Calle Las Colonias
12163572108,12163572139,515.1932793764302,Calle Los Hernández
12163576458,8858721022,2903.2234717130227,Calle Santa Cristina
12165964428,457205670,856.155772319021,Vía 414
12165964428,12165964467,175.88839976943814,Vía 414
12165964428,12165936972,770.3631496984412,Calle La Grúa
12165964467,12165964428,175.88839976943814,Vía 414
12165964467,5010551948,986.2547900988249,Vía 414
12165964467,12165964429,731.6441939925603,Calle Rancho Naturista
12165976009,5010272352,686.875574718819,Calle Los Venegas
12166002349,927639185,3708.518577762928,Vía 414
12166002349,8863527521,885.090903057834,Vía 414
12166002349,12166002387,559.9867479901263,Calle Piedra Redonda
12166517118,5543380631,1307.3732501739141,Calle Las Delicias
12166517119,5979497331,391.3745252662882,Vía 414
12166517119,5543380631,659.0140823295973,Vía 414
12166517119,12166517271,2321.054339829569,Calle La Fila
12166517271,12166517119,2321.05433982957,Calle La Fila
12168489944,4223266076,64.96480231781773,Calle Puente Tapado
12168489951,4223266077,337.0456210720407,Calle Puente Tapado
12168489952,12168489960,19.397097324733636,Calle Gato
12168489953,5790943159,23.298794253486882,Calle La Marta
12168489953,12168489960,36.69374882478292,Calle Gato
12168489953,7773991585,142.96738346006214,Calle La Marta
12168489954,12168489961,39.7991389286408,Calle Gato
12168489960,12168489953,36.69374882478292,Calle Gato
12168489960,12168489952,19.397097324733636,Calle Gato
12168489960,12168489961,29.9117561984946,Calle Gato
12168489961,5790943159,36.89873926892457,Calle Gato
12168489961,12168489960,29.9117561984946,Calle Gato
12168489961,12168489954,39.7991389286408,Calle Gato
12168490118,5794300721,802.262998225575,Calle Taque Taque Arriba 3
12168490118,12168490117,59.8656512937185,Calle Taque Taque Arriba
12168490118,3206673539,783.8987973535627,Calle Taque Taque Arriba
288649101,288650163,634.8962432864192,Vía 225
288649101,288649081,596.2112186489331,Vía 225
288649101,1038807315,469.8340456282077,Calle El Oso
288650163,288650175,172.19917805080016,Vía 225
288650163,288649101,634.8962432864192,Vía 225
288650163,5794624561,245.32290801291236,Sin nombre
