osmid,x,y,name
560112220,-83.6792961,9.9079152,Ubicacion 560112220
560112221,-83.6795571,9.9083585,Ubicacion 560112221
560112222,-83.6805336,9.9081056,Ubicacion 560112222
560112224,-83.6854571,9.9120102,Ubicacion 560112224
571710753,-83.6784763,9.9115427,Ubicacion 571710753
571710755,-83.6775674,9.9121342,Ubicacion 571710755
571710756,-83.6780439,9.9127845,Ubicacion 571710756
571710758,-83.6787507,9.9120208,Ubicacion 571710758
571710778,-83.6720184,9.9111087,Ubicacion 571710778
571710784,-83.6725602,9.9102836,Ubicacion 571710784
571710785,-83.6745731,9.9126769,Ubicacion 571710785
571710794,-83.6745927,9.910791,Ubicacion 571710794
571710795,-83.6808068,9.9109325,Ubicacion 571710795
571710796,-83.6793393,9.9117165,Ubicacion 571710796
571710797,-83.6796544,9.9123098,Ubicacion 571710797
571710798,-83.6788379,9.9113224,Ubicacion 571710798
571710799,-83.6778177,9.909633,Ubicacion 571710799
571710803,-83.6793089,9.9085459,Ubicacion 571710803
571710805,-83.6763545,9.9094293,Ubicacion 571710805
571710806,-83.6780291,9.9088352,Ubicacion 571710806
571710809,-83.6773603,9.9098049,Ubicacion 571710809
582998271,-83.6792352,9.9111013,Ubicacion 582998271
582998276,-83.6798429,9.9107819,Ubicacion 582998276
600520292,-83.7296538,9.9655246,Ubicacion 600520292
600520314,-83.7339059,9.9665547,Ubicacion 600520314
600520369,-83.6951914,9.9284854,Ubicacion 600520369
600520377,-83.6945102,9.9291089,Ubicacion 600520377
600520380,-83.6966864,9.9266775,Ubicacion 600520380
600520399,-83.6970781,9.9278973,Ubicacion 600520399
600520401,-83.696349,9.9277539,Ubicacion 600520401
611914164,-83.6762899,9.9176185,Ubicacion 611914164
611914165,-83.6763713,9.9159944,Ubicacion 611914165
611914166,-83.6753308,9.9175754,Ubicacion 611914166
611914167,-83.675508,9.915954,Ubicacion 611914167
611914171,-83.6746538,9.915909,Ubicacion 611914171
611914172,-83.6740249,9.9174727,Ubicacion 611914172
611914173,-83.6742112,9.9156686,Ubicacion 611914173
611914174,-83.6733194,9.9170543,Ubicacion 611914174
611914237,-83.6527756,9.9324652,Ubicacion 611914237
611914286,-83.6417726,9.9407759,Ubicacion 611914286
611914309,-83.6463404,9.9504823,Ubicacion 611914309
611914323,-83.6529413,9.9531453,Ubicacion 611914323
611914329,-83.6561439,9.9552766,Ubicacion 611914329
611914331,-83.6571087,9.955403,Ubicacion 611914331
611914421,-83.647492,9.9751976,Ubicacion 611914421
611914424,-83.6457414,9.9750626,Ubicacion 611914424
611914427,-83.6449175,9.9748153,Ubicacion 611914427
611914428,-83.6447033,9.9759137,Ubicacion 611914428
611914429,-83.6446641,9.9759834,Ubicacion 611914429
611914431,-83.6473014,9.9762614,Ubicacion 611914431
611914433,-83.6455802,9.9760847,Ubicacion 611914433
611914435,-83.646372,9.9770134,Ubicacion 611914435
611914436,-83.6464647,9.9761673,Ubicacion 611914436
611914437,-83.6466297,9.9750594,Ubicacion 611914437
618270366,-83.6319943,9.9937561,Ubicacion 618270366
618270399,-83.6423519,9.9970444,Ubicacion 618270399
618270422,-83.642604,9.9895663,Ubicacion 618270422
620163937,-83.7097957,9.8353856,Ubicacion 620163937
620163939,-83.7093709,9.8345884,Ubicacion 620163939
620163942,-83.7081471,9.8329912,Ubicacion 620163942
620163948,-83.7063071,9.8314324,Ubicacion 620163948
620163972,-83.6341885,9.8670642,Ubicacion 620163972
620163980,-83.6134626,9.8509301,Ubicacion 620163980
620163981,-83.6133222,9.8517895,Ubicacion 620163981
620163982,-83.6132102,9.8526012,Ubicacion 620163982
620163983,-83.6449635,9.8817883,Ubicacion 620163983
620163986,-83.6451789,9.8822748,Ubicacion 620163986
650976416,-83.6514332,9.8742319,Ubicacion 650976416
650976418,-83.6517015,9.8739227,Ubicacion 650976418
650976439,-83.6530756,9.867113,Ubicacion 650976439
