name,lat,lon,nearest_node
Carnitas Chani,9.9524303,-83.7006619,288655021
Escuela La Lucha,9.7433613,-83.9440653,3685108948
Iglesia del Alto del Carmen,9.924996,-83.9747222,417010040
Igleisa de Los Ángeles,9.9278205,-83.9963415,584227754
Iglesia Mormona,9.910021,-83.9926493,417006294
Templo de Montufar,9.9035718,-84.0082189,2362555315
Iglesia de Yerbabuena,9.9138825,-83.9784998,416670397
Ebais Linda Vista,9.8850713,-84.0274015,769533852
Ebais Concepción Oeste,9.9281084,-83.9966449,663379109
Ebias Dulce Nombre,9.9213972,-83.9805038,278193704
Ebais Alto El Carmen,9.9251496,-83.9751867,417009850
Pizzería Villa Italia,9.8601355,-83.9182326,450502922
Ebais Llano Grande,9.9406793,-83.9114594,6717748599
Pops,9.8675695,-83.9309804,2050210601
Banco General,9.8626744,-83.932914,472374745
Rancho del Sapito,9.9438634,-83.7753696,2679762697
Dulce Tentación,9.9058578,-83.6846223,1431339403
La Eskina/ Soda&Cafetería,9.9057211,-83.6855596,288651123
Plaza Rojitas,9.905593,-83.6852237,288651123
Bar y Restaurante Santa Cruceña,9.909728,-83.6887212,288651129
Ebais Central D,9.9064832,-83.6850699,471047487
Servicios Sanitarios,9.7607016,-83.7842731,288612447
Baños,9.7371967,-83.7803999,288612447
Servicios Sanitarios,9.7348587,-83.7795716,288612447
Woods,9.8787668,-83.9094597,1182431618
Onde su Agüela,9.7954868,-83.8541668,814372701
Capitan Wings,9.9087741,-84.0044765,1451198663
La Taquería,9.908239,-83.9849039,9880320604
Restaurante Feliz,9.9095817,-83.9848582,278161049
TicoBurguesas,9.9085309,-83.9869949,8073757130
El Canasto,9.9090369,-83.9950979,276540048
Foodtruck Park,9.9109301,-84.0132736,276540135
La Estrella,9.7768253,-83.9599735,1374403070
Cafetería Punto Nieve,9.9066022,-83.9861597,278168333
La Arboleda,9.8627279,-83.9331992,472374745
Mayyi's,9.8626507,-83.933174,472374745
Farmacia La Arboleda,9.8626995,-83.9332002,472374745
El Ajonjolí,9.8999294,-83.6751525,479493846
soda hilary,9.6859372,-83.9210588,11300416611
Iglesia de Jesucristo de los Santos de los Últimos Días,9.9024077,-83.6820875,497089473
Turrialba Rent a Car,9.9022907,-83.6802829,479493870
El Molino Streetfood,9.8623113,-83.924831,472395278
Pollos 2000,9.9048699,-83.6824558,471047489
Carnes Rio,9.9032936,-83.6823733,1590365080
Farmacia AMPM,9.903128,-83.6813257,1430564012
Chiquero,9.8896612,-83.5816748,7387626730
Iglesia de Pacayitas,9.8854763,-83.5839388,6321703967
Entrada Principal,9.8922679,-83.6578265,3069387596
